,time,open,high,low,close,volume
3511,2022-07-12 11:00:00,83.6757993999,83.8147792542,83.3879125589,83.5169652808,146287
3510,2022-07-12 12:00:00,83.4971110159,83.6063094728,83.1298071153,83.1397342477,106512
3509,2022-07-12 13:00:00,83.1496613802,83.2936048007,83.0057179597,83.2687869696,98426
3508,2022-07-12 14:00:00,83.2886412345,83.2985683669,82.9957908273,83.2588598371,115470
3507,2022-07-12 15:00:00,83.2737505358,83.2985683669,83.0702443206,83.1695156451,87825
3506,2022-07-12 16:00:00,83.1496613802,83.1496613802,82.3852721817,82.7823574796,347875
3505,2022-07-12 17:00:00,82.7724303472,82.7724303472,82.7724303472,82.7724303472,34246
3504,2022-07-13 10:00:00,82.0775310759,83.0305357908,82.0775310759,82.3728632662,45921
3503,2022-07-13 11:00:00,82.434907844,82.5043977711,81.9782597514,82.1966566652,65342
3502,2022-07-13 12:00:00,82.236365195,82.5937419631,82.1966566652,82.4845435062,67390
3501,2022-07-13 13:00:00,82.5441063009,82.9709729961,82.5341791685,82.9560822975,51451
3500,2022-07-13 14:00:00,82.9312644664,83.1496613802,82.7376853836,82.8518474068,78124
3499,2022-07-13 15:00:00,82.8319931419,82.9312644664,82.5143249036,82.7922846121,74994
3498,2022-07-13 16:00:00,82.812138877,82.8419202743,82.1867295328,82.1966566652,173162
3497,2022-07-13 17:00:00,82.1966566652,82.1966566652,82.1966566652,82.1966566652,79217
3496,2022-07-13 18:00:00,82.1966566652,82.1966566652,82.1966566652,82.1966566652,426
3495,2022-07-13 20:00:00,81.9286240892,81.9286240892,81.9286240892,81.9286240892,100
3494,2022-07-14 10:00:00,80.9756193742,81.9385512216,80.0782066009,81.6308101157,73999
3493,2022-07-14 11:00:00,81.571247321,82.0120120017,81.4173767681,81.6208829833,94946
3492,2022-07-14 12:00:00,81.6407372482,82.4150535791,81.5911015859,82.2661465924,98877
3491,2022-07-14 13:00:00,82.2165109301,82.345563652,81.9087698243,82.0477496785,75186
3490,2022-07-14 14:00:00,82.0477496785,82.236365195,81.7797171024,82.1668752679,74854
3489,2022-07-14 15:00:00,82.1768024003,82.6979768538,82.147021003,82.6235233605,108722
3488,2022-07-14 16:00:00,82.6334504929,83.100025718,82.4249807115,82.8717016717,306336
3487,2022-07-14 17:00:00,82.8717016717,82.8717016717,82.8717016717,82.8717016717,90476
3486,2022-07-15 10:00:00,83.2687869696,83.4077668238,82.0973853408,82.434907844,101663
3485,2022-07-15 11:00:00,82.4845435062,83.0801714531,82.4249807115,82.990827261,90661
3484,2022-07-15 12:00:00,82.9411915988,83.2191513073,82.7625032147,82.7922846121,56285
3483,2022-07-15 13:00:00,82.8071753108,82.8766652379,82.4845435062,82.5441063009,67256
3482,2022-07-15 14:00:00,82.568924132,82.8915559366,82.524252036,82.6731590227,66904
3481,2022-07-15 15:00:00,82.6880497214,82.9809001286,82.5143249036,82.9213373339,59808
3480,2022-07-15 16:00:00,82.901483069,83.18936991,82.8717016717,83.0503900557,234538
3479,2022-07-15 17:00:00,83.0503900557,83.0503900557,83.0503900557,83.0503900557,32723
3478,2022-07-18 10:00:00,82.7029404201,82.7029404201,81.8789884269,82.0378225461,72475
